id,amount,sold_on,fvf,source_em
53386363,22.99,4/13/18 10:16,0,8
53387162,74.7,4/13/18 11:15,4.64,8
53387233,65.6,4/13/18 11:17,4.25,8
53388926,168.15,4/13/18 13:48,11.8,8
53390071,49.99,4/13/18 14:38,9.5,8
53390128,75,4/13/18 14:46,5.06,8
53390374,65.8,4/13/18 15:03,4.15,8
53390549,141.8,4/13/18 15:17,8.42,8
53390688,107.4,4/13/18 15:35,7.25,8
53391034,75,4/13/18 15:53,4.86,8
53392063,37.35,4/13/18 17:05,3.36,22
53392854,75.5,4/13/18 17:57,4.42,8
53393504,37.5,4/13/18 18:47,2.03,8
53394289,74.7,4/13/18 19:50,4.5,8
53396953,32.9,4/13/18 23:19,1.95,4
53399307,32.8,4/14/18 4:21,1.8,8
53399984,206.6,4/14/18 5:44,13.2,8
53401133,32.8,4/14/18 7:26,2.01,4
53401723,173.7,4/14/18 8:08,11.41,8
53401854,32.8,4/14/18 8:11,1.95,8
53402029,75,4/14/18 8:27,5.13,8
53402062,112.5,4/14/18 8:26,6.28,8
53402201,32.8,4/14/18 8:40,2.1,8
53404447,37.35,4/14/18 10:43,3.36,22
53404595,34.12,4/14/18 11:03,3.38,3
53404724,32.8,4/14/18 11:08,1.95,8
53404908,112.5,4/14/18 11:16,6.68,8
53404923,32.8,4/14/18 11:16,2.15,8
53406066,102.75,4/14/18 12:28,5.83,8
53406086,19.79,4/14/18 12:26,0,0
53406705,32.9,4/14/18 13:13,2.22,8
53407000,32.9,4/14/18 13:31,2.19,8
53407286,32.8,4/14/18 13:43,2.33,8
53407632,74.7,4/14/18 14:05,6.72,22
53408407,149.4,4/14/18 17:05,8.2,4
53409680,103.5,4/14/18 16:15,6.05,8
53410505,10.55,4/14/18 16:56,1.2,8
53411184,51.85,5/1/18 12:21,0,16
53411766,32.9,4/14/18 18:18,2.34,8
53413007,13.6,4/14/18 20:04,1.35,0
53416534,37.5,4/14/18 23:59,2.4,8
53419769,37.5,4/15/18 6:30,2.63,8
53420405,37.5,4/15/18 14:41,2.46,8
53420617,37.35,4/15/18 7:24,2.08,8
53421310,375,4/15/18 8:30,25.31,8
53422202,37.5,4/15/18 9:21,3.38,22
53422695,37.5,4/15/18 9:53,3.38,22
53422795,37.5,4/15/18 10:02,2.63,8
53423379,107.9,4/15/18 11:02,6.02,8
53424375,32.9,4/15/18 11:40,1.84,8
53424684,75,4/15/18 12:05,4.66,8
53427556,135.9,4/15/18 14:50,8.19,8
53428017,102.95,4/15/18 15:19,6.76,8
53428505,70.15,4/15/18 15:44,4.04,8
53429641,37.35,4/15/18 16:49,2.52,8
53429843,131.2,4/15/18 17:06,7.68,8
53430270,112.5,4/15/18 17:26,6.38,8
53430327,23.03,4/15/18 17:33,3.11,8
53432997,79.98,4/16/18 18:35,15.2,4
53433472,37.5,4/15/18 20:31,2.43,4
53434718,440,4/15/18 21:46,26.14,4
53438266,74.7,4/16/18 6:31,4.03,7
53440922,103.5,4/16/18 6:14,6.33,8
53441432,37.5,4/16/18 6:40,2.16,8
53441536,37.5,4/16/18 6:45,2.16,8
53441553,206.2,4/19/18 3:13,12.81,4
53441839,37.5,4/16/18 9:33,2.3,8
53441860,37.35,4/16/18 7:15,2.25,4
53442592,74.7,4/16/18 8:06,4.03,8
53443019,113,4/17/18 13:58,6.51,8
53443811,65.6,4/16/18 9:28,4.37,8
53444214,113,4/16/18 9:54,6.92,7
53445099,75,4/16/18 10:57,4.05,8
53446318,70.4,4/17/18 9:20,6.34,22
53446755,98.7,4/16/18 12:31,6.93,8
53447173,196.4,4/16/18 13:27,17.68,22
53447930,37.35,4/16/18 13:36,2.32,8
53448099,37.35,4/16/18 13:47,2.05,8
53448235,37.5,4/23/18 15:32,2.3,8
53448987,37.35,4/16/18 14:39,3.36,22
53449510,19.34,4/16/18 15:11,1.74,8
53449614,37.95,4/25/18 10:30,2.22,8
53451501,32.8,4/18/18 10:57,2.04,8
53451586,56.18,4/16/18 17:24,5.06,8
53451678,15.9,4/16/18 17:24,0.97,8
53451885,150,4/16/18 17:32,8.51,8
53452883,29.85,4/16/18 18:17,2.95,3
53453090,144.85,4/16/18 18:48,8.47,8
53454403,29.74,4/16/18 19:24,4.12,8
53454599,65.6,4/16/18 19:32,3.78,8
53454670,37.5,4/16/18 19:34,2.19,8
53462193,37.5,4/17/18 13:27,2.5,8
53463011,32.9,4/17/18 4:25,1.92,8
53463587,37.5,4/17/18 5:07,2.5,8
53464415,37.5,4/17/18 6:28,2.36,8
53464535,150,4/17/18 6:42,8.51,8
53464830,75,4/17/18 6:59,4.32,8
53464944,37.5,4/17/18 7:04,2.46,8
53465595,37.5,4/17/18 7:57,2.26,8
53465975,136.5,4/17/18 8:36,7.99,8
53466693,107.5,4/17/18 9:16,7.26,8
53466711,75,4/18/18 11:59,4.52,8
53467863,37.35,4/17/18 10:36,3.36,22
53468662,37.35,4/17/18 11:18,2.05,8
53469146,37.5,4/17/18 11:59,2.53,8
53469845,65.6,4/17/18 12:32,3.96,4
53471535,75,4/17/18 14:23,5,8
53471896,37.5,4/17/18 14:44,2.53,8
53474696,35.48,4/17/18 15:47,4.38,8
53476181,205.9,4/17/18 17:07,12.6,7
53476913,140.2,4/17/18 18:03,9.97,8
53477613,65.8,4/17/18 19:44,3.67,8
53478143,107.5,4/17/18 19:12,7.64,4
53478429,13.19,4/17/18 22:49,0,
53479587,74.7,4/17/18 20:32,4.1,8
53483690,75,4/18/18 2:33,0,
53483884,75.5,4/18/18 0:49,5.37,8
53485026,37.35,4/18/18 3:22,2.25,8
53485299,89.82,4/18/18 3:57,8.88,3
53486221,65.6,4/18/18 5:31,3.54,8
53486595,98.4,4/18/18 6:04,6.29,8
53488002,70.4,4/18/18 8:24,5.01,8
53489079,112.05,4/18/18 11:06,6.15,8
53489460,75,4/20/18 6:09,5.27,8
53489667,32.8,4/18/18 9:06,2.15,8
53489997,37.35,4/18/18 9:32,2.25,8
53492410,50.99,4/18/18 11:46,4.59,3
53492783,37.5,4/18/18 11:59,2.53,8
53493206,32.8,4/18/18 12:21,2.04,8
53493659,140.6,4/18/18 12:48,8.86,8
53493829,37.5,4/18/18 12:59,2.5,8
53494392,102.95,4/18/18 13:39,9.27,22
53495185,32.8,4/18/18 14:26,2.18,8
53495600,131.6,4/18/18 14:57,7.94,8
53497736,74.7,4/18/18 17:34,4.03,8
53497744,65.8,4/18/18 17:32,3.67,8
53499733,37.5,4/18/18 19:07,2.57,8
53500727,37.5,4/18/18 20:14,2.53,8
53501510,37.5,4/18/18 21:01,2.23,8
53506231,32.8,4/19/18 15:27,1.8,8
53506450,17.27,4/26/18 6:58,2.03,4
53506901,75,4/19/18 6:28,4.39,8
53507023,32.9,4/19/18 6:36,2.28,3
53508238,145.5,4/19/18 8:06,8.51,8
53508843,32.8,4/19/18 8:39,2.13,8
53509343,102.85,4/19/18 9:13,6.29,8
53509943,70.15,4/19/18 10:20,3.98,8
53510945,37.35,4/19/18 10:57,2.22,8
53516860,373,4/19/18 17:20,26.18,4
53518689,37.35,4/19/18 18:17,2.42,8
53518859,32.8,4/19/18 18:27,1.86,8
53519170,295,4/19/18 18:53,19.12,8
53519735,65.6,4/19/18 19:28,4.37,8
53523522,33.4,4/19/18 22:53,1.8,8
53523665,37.5,4/19/18 23:13,2.6,8
53526740,18.99,4/20/18 5:08,2.47,8
53528248,37.5,4/20/18 7:12,2.16,8
53528842,37.35,4/20/18 7:55,1.31,0
53529741,412.5,4/20/18 9:02,28.96,8
53529926,102.75,4/20/18 9:28,6.94,8
53530026,7.9,4/20/18 9:29,0.71,8
53530049,37.35,4/20/18 9:24,2.15,8
53530098,74.7,4/20/18 9:30,4.03,8
53532419,44.9,4/20/18 12:26,2.55,8
53532592,21.62,4/20/18 12:51,1.72,8
53532641,15.55,4/20/18 12:51,1.31,8
53533146,99,4/20/18 14:12,3.47,0
53534437,114.5,4/20/18 15:02,7.63,3
53535081,68.8,4/20/18 16:21,2.41,0
53535908,65.6,4/21/18 1:08,4.31,8
53536580,168.45,4/20/18 17:46,9.85,8
53537570,74.7,4/20/18 19:29,4.98,8
53543871,36.99,4/21/18 6:30,4.81,8
53544307,65.6,4/22/18 17:27,4.61,8
53544944,72,4/23/18 4:36,4.73,8
53544993,37.5,4/21/18 8:16,1.31,0
53545788,32.8,4/21/18 9:08,1.92,8
53545800,45.99,4/21/18 9:08,4.14,8
53545891,70.05,4/21/18 9:15,3.91,8
53545984,37.5,4/21/18 9:27,2.46,8
53546435,37.35,4/21/18 9:57,2.32,8
53546549,33.4,4/21/18 10:06,1.83,8
53546769,37.35,4/21/18 10:25,2.05,8
53548283,14,4/21/18 12:14,1.16,8
53549057,140.3,4/21/18 13:12,12.63,22
53549407,238.5,4/22/18 8:20,21.47,22
53550136,75,4/21/18 14:42,5,8
53551337,33.4,4/21/18 16:07,1.89,8
53552521,137.7,4/21/18 17:37,7.56,8
53552550,27.8,4/21/18 17:48,1.6,8
53552973,252,4/21/18 18:36,22.68,22
53553011,32.99,4/21/18 18:11,2.97,8
53554650,32.8,4/24/18 6:44,1.95,8
53554861,108.5,4/21/18 20:48,7.62,8
53554964,67.4,4/23/18 7:28,4.31,8
53555028,74.7,4/21/18 20:41,4.64,8
53560841,74.7,4/22/18 6:41,4.64,8
53561876,37.35,4/22/18 8:10,2.18,8
53561982,187.5,4/22/18 8:18,6.56,0
53563975,37.5,4/22/18 10:37,2.46,3
53564526,137.5,4/22/18 11:18,9.28,8
53564795,26.9,4/22/18 11:34,0.94,0
53565172,108.4,4/22/18 12:28,6.93,8
53565373,37.35,4/22/18 12:14,2.62,8
53565745,37.35,4/22/18 12:46,2.29,8
53567802,16.2,4/22/18 14:08,1.6,4
53569346,75,4/22/18 16:05,4.25,8
53571508,37.35,4/22/18 18:21,2.62,8
53571771,32.8,4/22/18 18:38,2.13,8
53572358,74.7,4/22/18 19:15,4.84,8
53578277,37.5,4/23/18 5:45,2.43,8
53578820,42.9,4/23/18 6:32,3.86,22
53578875,182.2,4/23/18 6:46,10.49,8
53579419,33.4,4/23/18 7:26,1.92,8
53579827,37.35,4/23/18 7:53,2.29,8
53580090,141.6,4/23/18 8:13,7.65,8
53580231,37.5,4/23/18 8:25,2.6,8
53580489,75,4/23/18 8:36,4.79,8
53580676,37.35,4/23/18 8:45,2.12,8
53581428,37.5,4/23/18 9:33,2.3,8
53581484,171.3,4/23/18 15:16,10.33,8
53585616,37.5,4/23/18 12:55,2.67,8
53585653,236.5,4/23/18 12:37,16.6,7
53585840,75,4/23/18 13:30,5,8
53585933,70.8,4/23/18 12:48,4.4,8
