seller_id,profit_estimate,value_em,user_created,booth_created,first_sale,days_to_sale,country,state,city,committed,year_sales,year_amount,year_fvf,items_for_sale,sales,source_em,entry_source_em,inventory_source_em,entry_url,entry_query
21286563,590.00,dolphin,10/17/16,10/17/16,12/12/16,56,US,Al,FLORENCE,TRUE,13.00,1687.46,218.06,436,48,other,,1,,
27026296,851.00,dolphin,8/12/17,8/12/17,9/8/17,27,RU,,Kostroma,TRUE,149.00,6705.70,972.43,154,183,other,,,,
29045892,0.00,minnow,11/23/17,11/23/17,1/13/18,51,US,PA,Farrell,TRUE,0.00,0.00,0.00,115,1,other,,1,,
29597714,395.00,dolphin,12/15/17,12/15/17,12/22/17,7,US,CA,Orangevale,FALSE,16.00,1548.77,104.79,0,18,other,,1,,
30251393,58.00,minnow,1/20/18,1/20/18,3/13/18,52,CN,,SHEN ZHEN,TRUE,18.00,631.39,103.31,1362,18,other,,1,,
30317548,0.00,minnow,1/24/18,1/24/18,5/29/18,125,US,NY,Levittown,FALSE,1.00,17.60,1.35,0,1,other,,,,
30887858,8.00,sea_bass,2/28/18,2/28/18,3/5/18,5,US,NY,Hermon,TRUE,70.00,2643.97,190.44,256,70,other,,,,
33890910,0.00,minnow,8/3/18,8/3/18,12/17/18,136,US,NC,Charlotte,TRUE,1.00,19.90,1.79,95,1,other,5,,https://connector.cedcommerce.com/bonanza/bonanza-install/index,cedcommerce
34157084,0.00,minnow,8/16/18,8/16/18,,NaN,US,NY,Lake Katrine,TRUE,0.00,0.00,0.00,77,0,other,0,1,https://email03.godaddy.com/webmail.php,Kimberly Petersen
34208959,0.00,minnow,8/19/18,8/19/18,,NaN,US,PA,Wrightsville,FALSE,0.00,0.00,0.00,0,0,other,7,1,https://quickbooks.intuit.com/r/online-store-and-retail/10-sites-to-sell-your-products-online-whats-best-for-your-business/,
34652592,-21.00,dolphin,9/15/18,9/15/18,11/8/18,54,JP,,Oda,TRUE,4.00,809.41,34.87,720,4,other,7,1,https://ameblo.jp/,
36043249,0.00,minnow,11/28/18,11/28/18,,NaN,US,CA,Antioch,TRUE,0.00,0.00,0.00,30,0,other,7,1,https://www.searchencrypt.com/,
28361,23.00,minnow,12/19/08,12/19/08,2/18/10,426,US,VA,Virginia Beach,TRUE,23.00,242.70,24.99,961,26,organic,,1,,
438044,5095.00,dolphin,4/11/10,4/17/10,5/12/10,25,US,NJ,East Rutherford,TRUE,472.00,14722.85,1688.05,225,3311,organic,,,,
797342,1.00,minnow,12/5/10,12/5/10,6/22/11,199,US,OH,Mentor,TRUE,0.00,0.00,0.00,0,10,organic,,,,
3934101,568.00,minnow,5/12/12,5/12/12,1/23/13,256,US,FL,Orlando,TRUE,19.00,199.80,12.60,1075,21,organic,,,,
6201935,-1228.00,minnow,10/24/13,10/24/13,12/18/13,55,US,CA,Los Angeles,TRUE,0.00,0.00,0.00,599,47,organic,,,,
6469617,112.00,minnow,12/2/13,12/2/13,6/11/17,"1,287",US,TN,Knoxville,TRUE,15.00,452.41,51.36,0,37,organic,,,,
10222534,567.00,minnow,10/29/14,1/25/15,1/31/15,6,US,CA,Laguna Niguel,TRUE,2.00,327.91,98.38,1212,109,organic,,2,,
11082674,238.00,dolphin,1/12/15,1/12/15,2/4/15,23,US,CA,Riverside,TRUE,24.00,4258.23,184.41,1766,74,organic,,1,,
11364308,44.00,dolphin,2/6/15,2/6/15,2/12/15,6,US,FL,SANFORD,TRUE,0.00,0.00,0.00,128,6,organic,,1,,
11789298,0.00,minnow,3/13/15,11/29/18,,NaN,US,TN,Knoxville,TRUE,0.00,0.00,0.00,11,0,organic,0,1,https://www.google.com/,
11928456,126.00,dolphin,3/24/15,3/24/15,4/14/15,21,US,NJ,manahawkin,TRUE,19.00,865.72,110.16,191,40,organic,,1,,
12860188,128.00,dolphin,6/4/15,6/4/15,7/1/15,27,US,GA,Hiawassee,FALSE,0.00,0.00,0.00,0,30,organic,,1,,
12875978,9837.00,whale,6/5/15,6/5/15,6/25/15,20,US,FL,Flagler Beach,TRUE,259.00,63500.84,5202.86,1480,1021,organic,,1,,
12923019,48.00,minnow,6/9/15,6/9/15,12/2/17,907,US,NY,Jamaica,TRUE,17.00,697.43,69.10,80,19,organic,,1,,
13143352,15.00,minnow,6/27/15,6/27/15,7/1/15,4,US,CA,Eureka,TRUE,6.00,105.09,18.08,0,18,organic,,1,,
13902989,7161.00,whale,8/23/15,8/23/15,8/29/15,6,US,GA,DAHLONEGA,TRUE,361.00,51152.12,3254.15,5577,1327,organic,-1,1,https://www.bonanza.com/booths/partsbrokersllc,
