id,user_id,paid_date,amount,type,subscription_term_length,state,is_first_payment,is_last_payment,free_trial,membership_level
2467334,32787576,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467339,32789041,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467369,27716801,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467386,32783112,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467483,27134114,6/9/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467487,29214827,6/9/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467490,30501199,6/9/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467499,19075166,6/9/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2467502,25387803,6/9/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467516,32572034,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467527,32249264,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467546,32610895,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467578,32722360,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467650,441000,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467693,32815854,6/9/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467762,31448560,6/10/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2467771,31375203,6/10/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467773,31368580,6/10/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2467779,32174297,6/10/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2467784,31815771,6/10/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2467826,26418060,6/10/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467956,32768889,6/10/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467967,32830037,6/10/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2467991,32789246,6/10/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467994,25672089,6/10/18,290,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Gold
2468057,31127950,6/10/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468150,23374451,6/11/18,290,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Gold
2468165,31049199,6/11/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2468167,31522086,6/11/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2468176,32204318,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2468191,32217134,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468206,225707,6/11/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2468391,29970360,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
