id,https://www.bonanza.com/booths/,booth_id,seller_id,featured_category_id,profit_estimate,value_em,created_at,first_sale,DaysToSale,Days as User,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
16687218,https://www.bonanza.com/booths/2779546,2779546,16687218,870,360.25,DOLPHIN,7/26/2012,2012-08-13,18,"2,336",$0.15,72,$5.00,4,Ennaus,PA,US,1039,319,5,1.57%,0,13.00,18%,4.69
11310821,https://www.bonanza.com/booths/2117994,2117994,11310821,11450,128.31,SEA_BASS,3/24/2016,2016-03-30,6,999,$0.13,281,$0.46,8,Oceanside,CA,US,1276,1498,20,1.34%,0,7.00,2%,5.00
12013651,https://www.bonanza.com/booths/2232954,2232954,12013651,870,57.03,DOLPHIN,3/4/2015,2015-10-22,232,"1,385",$0.04,53,$1.08,4,Shafer,Minnesota,US,449,308,1,0.32%,0,7.00,13%,5.00
20461304,https://www.bonanza.com/booths/3017021,3017021,20461304,281,100.85,MINNOW,1/16/2016,2016-01-23,7,"1,067",$0.09,65,$1.55,16,Castlegar,British Columbia,CA,130,41,1,2.44%,0,9.00,14%,4.56
16216975,https://www.bonanza.com/booths/2738590,2738590,16216975,58058,53.92,MINNOW,1/11/2016,2016-01-18,7,"1,072",$0.05,35,$1.54,4,Cordova,TN,US,300,785,0,0.00%,0,3.00,9%,5.00
23254882,https://www.bonanza.com/booths/3245788,3245788,23254882,26395,704.62,DOLPHIN,7/14/2016,2017-04-21,281,887,$0.79,79,$8.92,,Newtown,PA,US,9909,7235,9,0.12%,2,3.00,4%,5.00
1176223,https://www.bonanza.com/booths/249922,249922,1176223,6028,302.25,MINNOW,8/13/2012,2012-08-28,15,"2,318",$0.13,252,$1.20,4,Altha,FL,US,690,58,0,0.00%,0,32.00,13%,5.00
16991886,https://www.bonanza.com/booths/2802584,2802584,16991886,11450,838.26,DOLPHIN,11/29/2013,2013-12-07,8,"1,845",$0.45,171,$4.90,3,Aptos,CA,US,326,318,2,0.63%,0,16.00,9%,4.50
20645411,https://www.bonanza.com/booths/3032417,3032417,20645411,26395,157.79,SEA_BASS,6/23/2011,2011-07-02,9,"2,735",$0.06,118,$1.34,4,Chula Vista,CA,US,137,368,9,2.45%,0,3.00,3%,5.00
32870836,https://www.bonanza.com/booths/4387908,4387908,32870836,11450,1594.24,DOLPHIN,3/3/2016,2016-03-08,5,"1,020",$1.56,310,$5.14,0,Los Angeles,CA,US,443,1333,30,2.25%,0,26.00,8%,4.85
28268147,https://www.bonanza.com/booths/1622541,3835108,28268147,64482,302.42,SEA_BASS,10/13/2017,2017-11-24,42,431,$0.97,150,$1.23,4,Yukon,OK,US,202,169,14,0.59%,0,20.00,6%,4.55
35262465,https://www.bonanza.com/booths/4621955,4621955,35262465,888,4.74,MINNOW,6/23/2017,2017-06-27,4,543,$0.01,2,$2.37,0,San Jose,CA,US,48,18,1,5.56%,0,0.00,0%,NULL
27837785,https://www.bonanza.com/booths/3791058,3791058,27837785,1249,189.22,SEA_BASS,9/25/2015,2015-09-28,3,"1,180",$0.16,66,$2.87,16,Melvindale,Mi,US,1076,191,2,1.05%,0,6.00,9%,4.83
24692031,https://www.bonanza.com/booths/1859833,3416464,24692031,11450,101.33,SEA_BASS,4/10/2017,2017-04-24,8,"1,567",$0.28,99,$0.81,7,Allison Park,PA,US,983,960,9,1.05%,0,5.00,6%,3.20
32055311,https://www.bonanza.com/booths/4310593,4310593,32055311,11450,-4.17,SEA_BASS,4/16/2017,2017-07-19,94,611,-$0.01,60,-$0.07,0,Westbrook,CT,US,601,4996,40,0.80%,0,1.00,2%,4.00
28586822,https://www.bonanza.com/booths/3876272,3876272,28586822,0,28.04,MINNOW,10/9/2016,2016-10-18,9,800,$0.04,17,$1.65,22,Riverton,UT,US,30,43,3,6.98%,0,3.00,18%,4.67
34864424,https://www.bonanza.com/booths/4583243,4583243,34864424,888,101.81,SEA_BASS,1/8/2016,2016-01-28,20,"1,075",$0.09,89,$1.14,4,Wu Ping,Long Yan,CN,6022,6579,71,1.08%,0,5.00,6%,5.00
6928273,https://www.bonanza.com/booths/1667545,1667545,6928273,0,65.96,MINNOW,4/25/2017,2017-04-30,5,602,$0.11,72,$0.92,,Carlinville,Il,US,224,186,2,1.08%,0,8.00,11%,4.75
18555943,https://www.bonanza.com/booths/2863208,2863208,18555943,220,975.36,DOLPHIN,1/26/2018,2018-01-27,1,326,$2.99,502,$1.94,,Crawfordsville,IN,US,430,6739,28,0.42%,2,21.00,4%,4.90
13929461,https://www.bonanza.com/booths/2500349,2500349,13929461,6028,1684.31,DOLPHIN,10/21/2014,2014-10-25,4,"1,519",$1.11,254,$6.63,,Chippewa Lake,Oh,US,130,189,7,3.70%,0,5.00,2%,4.60
26427018,https://www.bonanza.com/booths/4461691,3630434,26427018,0,76.66,MINNOW,7/10/2017,2017-10-10,92,526,$0.02,30,$1.49,4,Lexington,SC,US,702,623,2,0.00%,0,3.00,0%,3.67
11657055,https://www.bonanza.com/booths/2830798,2830798,11657055,281,998.63,MINNOW,10/6/2014,2014-10-17,11,"1,534",$0.65,30,$33.29,4,Tucson,Arizona,US,650,165,0,0.00%,2,0.00,0%,NULL
26088106,https://www.bonanza.com/booths/3663568,3663568,26088106,11450,-2.03,MINNOW,8/8/2015,2015-08-12,4,"1,228",$0.00,17,-$0.12,4,Ponorogo,Jawa Timur,ID,100,194,4,2.06%,0,0.00,0%,NULL
35933753,https://www.bonanza.com/booths/4692714,4692714,35933753,45100,-4.4,MINNOW,3/3/2016,2016-03-06,3,"1,020",$0.00,1,-$4.40,22,arden,NC,US,156,695,1,0.14%,0,0.00,0%,NULL
