seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
30092380,,-0.05,0,0,0
30146932,,0,0,0,0
30157805,,0,0,0,0
30161845,,42.72,0,62.53,0
30162997,,10.43,0,17.78,0
30165549,,11.9,0,12.25,0
30179921,,347.4,2,406.9,40
30180756,,360.83,2,197.77,175.6
33146241,6,282.51,1,181.15,120
30181112,,21.7,2,237.16,0
30184655,,-0.13,0,0,0
30185187,,-8.99,0,0,0
30185487,,128.36,2,242.58,0
30186023,,-0.13,0,0,0
30186071,,51.03,0,59.29,0
30186248,,10.57,0,14.1,0
30186310,,27.67,0,33.28,0
30186450,,-11.87,0,3.04,0
30189981,,1.05,0,23.02,0
30192114,,7.01,0,7.87,0
30193105,,-0.27,0,0,0
30194991,,480.74,1,238.38,366
30197896,,39.44,0,46.86,0
30198058,,66.75,0,22.33,40
30198106,,-0.05,0,0,0
30198852,,384.25,2,451.91,0
30199259,,0,0,0,0
30200009,,0,0,0,0
30200476,,320.95,0,36.84,290
30201761,,16.57,0,17.23,0
30202047,,141.72,2,141.72,0
30202712,,111.18,1,139.42,0
30204045,,5.26,0,6.28,0
30204126,,86.91,0,148.15,0
30204899,,-0.56,0,0,0
30205820,,8.66,0,10.5,0
30208860,,34.98,0,38.04,0
30212044,,71.41,2,107.84,0
30212598,,-0.04,0,0,0
30213070,,35.34,0,66.07,0
30215029,,92.82,0,144.9,0
30215096,,-0.09,0,0,0
30215926,,-0.43,0,0,0
30216111,,-1.13,0,0,0
30216133,,-0.14,0,0,0
30216136,5,-0.02,0,0,0
30216377,,-0.71,0,0,0
30217136,,18.92,1,190.01,0
30218155,,0,0,0,0
30220644,,245.42,2,342.16,0
30220899,,-0.01,0,0,0
30221986,,14.42,0,20.19,0
30223607,,7.17,0,7.17,0
33344116,6,279.95,0,0,280
30224130,,8.93,0,11.42,0
30224328,,16.51,0,18.94,0
30224681,,0,0,0,0
30224836,,30.03,0,8.24,40
30225536,,0.11,0,6,0
30226434,,-14.94,0,1.97,0
30227236,,0,0,0,0
30228062,,322.58,0,41.99,290
30228295,2,6.17,0,6.12,0
30228746,,0,0,0,0
30230515,,112.62,1,153.92,0
30232053,,130.11,0,134.86,0
30234106,,0,0,0,0
30234829,,0,0,0,0
30235000,,145.01,1,264.95,0
33537261,6,279.89,0,0,280
30236668,,-0.04,0,0,0
30238080,,30.14,0,36.23,0
30238452,,-25.8,0,0,0
30242038,,96.81,1,153.64,0
30242383,,13.45,0,11.31,0
30243191,,-0.11,0,0,0
30243501,,4.95,0,6.69,0
30243682,,0,0,0,0
30244254,,0,0,0,0
30244998,,4.02,2,5.23,0
30246027,,0,0,0,0
30246613,,545.32,0,332.8,290
30246775,,25.28,0,13.78,20
30246862,,5.28,0,11.59,0
30246990,,1.88,0,0,0
30247626,,12.89,0,8.57,0
30248350,,204.41,0,150.68,80
30250183,,10.5,0,10.63,0
30251313,,563.15,2,540.11,290
30251393,,58.56,0,103.31,0
30255722,,0,0,0,0
30256975,,30.98,0,47.83,0
30258525,,-11.94,0,0,0
30259173,,0,0,0,0
30260279,,24.12,0,25.73,0
30260778,,-1.87,0,0,0
30263394,,12.27,0,20.12,0
30264328,,0,0,0,0
30264593,,0,0,0,0
30264705,,2.68,0,3.15,0
30265465,,0.92,0,0,0
30265491,,284.51,0,12.87,290
30265908,,15.04,0,10.87,0
30266076,,-0.15,0,0,0
30266386,,-0.16,0,0,0
30266770,,1.26,0,3.51,0
30266886,,101.51,1,122.68,0
30268288,,-4.94,0,0,0
30270394,,-0.07,0,0,0
30270910,,0,0,0,0
30271703,,174.96,1,220.38,0
30272003,,436.23,2,605.85,0
30272507,,959.03,2,1360.3,0
30274028,,7.98,0,3.5,0
30275161,,3.56,0,3.98,0
32994359,6,274.54,2,322.4,0
30275951,0,2022.27,1,40.09,1995
30277119,,7.28,0,4.53,0
30278439,,-1.05,0,6.69,0
30278754,,-1.69,0,0,0
30279709,,0,0,0,0
30280489,,0,0,0,0
30283877,,12.91,0,17.45,0
30285855,,-1.18,0,0,0
30286001,,-0.44,0,0,0
30288595,,5.56,0,9.24,0
30289745,,4.19,0,15.25,0
30292104,,10037.96,3,9534.87,2995
30292663,,4.49,0,13.73,0
30292797,,571.69,1,231.92,400
30293745,,0,0,0,0
30293789,,-2.01,0,0,0
30294108,,6.21,0,25.43,0
30294361,,1.49,0,1.8,0
30294602,,-0.01,0,0,0
30294815,,75.49,0,80.91,0
30295871,,5.03,0,7.13,0
30296123,,36.05,0,25.94,0
30296653,,13.4,0,15.97,0
30297238,,-0.02,0,0,0
30297520,,0,0,0,0
30297634,,131.74,1,497.52,0
30297782,,-0.06,0,0,0
30298027,,-90.63,0,0,0
30298373,,7.67,0,28.77,0
30298624,,-0.03,0,0,0
30303164,,0,0,0,0
30303647,,3.87,0,8.78,0
30303878,,19.41,0,23.98,0
30304116,,0,0,0,0
30304647,,-0.17,0,0,0
30305623,,-1.17,0,0,0
30306585,,0,0,0,0
30307060,,4.86,0,10.4,0
30307075,,39.71,0,44.76,0
30307250,,818.15,0,966.91,0
30308723,,26.33,0,21.14,0
30308775,,210.11,1,318.63,0
30309418,,-0.03,0,0,0
30309646,,0,0,0,0
