id,amount,sold_on,fvf,source_em
53201058,29.16,4/4/18 17:03,2.62,8
53201566,75.96,4/4/18 17:31,6.84,8
53202135,19.87,4/4/18 18:05,1.79,8
53202773,43.95,4/4/18 18:43,3.96,8
53202803,39.99,4/4/18 18:38,1.4,0
53202877,123.17,4/4/18 18:39,11.09,8
53203002,7.99,4/4/18 18:45,0.12,
53203129,150.44,4/4/18 19:03,28.58,8
53203731,27,4/4/18 19:29,5.13,8
53204068,87.9,4/4/18 19:57,7.91,8
53204235,12.75,4/4/18 20:01,1.66,8
53204332,18.82,4/4/18 20:19,1.69,8
53204399,51,4/4/18 20:10,2.98,8
53204589,205.2,4/4/18 20:26,11.82,8
53204606,34.2,4/4/18 20:19,2.28,4
53205008,18.5,4/5/18 5:58,1.67,8
53205089,86.96,4/4/18 21:04,7.83,8
53205357,110,4/4/18 21:09,14.3,8
53205882,23.85,4/4/18 21:45,2.36,8
53206742,39.56,4/4/18 22:18,7.52,8
53208070,152.85,4/4/18 22:53,13.76,8
53208274,141.09,4/4/18 23:26,18.34,8
53208577,13.99,4/4/18 23:40,1.26,8
53210114,45.5,4/5/18 2:25,3.65,8
53210271,72.95,4/7/18 4:15,9.48,8
53210554,19.99,4/5/18 3:17,2.6,8
53211414,29.99,4/5/18 4:57,4.39,8
53211982,41.53,4/5/18 5:50,4.65,8
53212157,18.69,4/5/18 6:10,1.68,8
53212281,9.49,4/5/18 6:16,1.8,15
53212324,27.79,4/5/18 6:19,2.31,8
53212521,21.5,4/5/18 6:36,2.88,8
53213014,43.95,4/5/18 7:14,3.96,8
53213127,47.9,4/5/18 7:21,7.2,8
53213606,89.68,4/5/18 7:51,5.81,8
53213899,198,4/5/18 8:33,37.62,8
53213960,242.9,4/5/18 8:33,21.24,8
53214048,16.99,4/12/18 15:29,1.62,8
53214340,54.99,4/5/18 8:43,7.15,8
53214465,137.94,4/5/18 8:56,17.28,8
53214575,284,4/5/18 8:57,0,0
53214651,38.98,4/5/18 9:04,4.42,8
53214694,132.04,4/5/18 9:15,11.88,8
53214755,28.05,4/5/18 9:11,2.52,8
53214902,68.4,4/5/18 9:23,4.68,8
53215103,189,4/5/18 9:49,24.57,8
53215268,51,4/5/18 9:44,3.03,4
53215780,42.08,4/5/18 10:22,3.79,8
53215885,284,4/5/18 10:51,0,0
53215897,13.99,4/5/18 10:28,0,8
53216241,91.99,4/5/18 10:55,17.48,8
53216953,284,4/5/18 11:47,0,4
53217121,63.64,4/5/18 12:16,5.73,22
53217233,63.24,4/5/18 12:05,6.69,8
53217548,39.86,4/5/18 12:19,3.59,8
53217768,72,4/5/18 12:33,4.73,8
53218641,110,4/5/18 13:28,14.3,8
53219041,150,4/5/18 13:58,9.95,8
53219044,13.09,4/5/18 14:00,0.5,8
53219095,284,4/5/18 14:01,0,0
53219299,9.4,4/5/18 14:18,1.22,8
53219301,23.05,4/5/18 14:18,1.74,8
53219686,13.99,4/5/18 15:04,1.26,8
53219862,43.95,4/5/18 14:50,3.96,8
53219950,17.77,4/5/18 14:57,5.33,8
53219970,2.99,4/5/18 15:04,0.5,8
53220041,14.99,4/5/18 15:09,1.95,8
53220076,6.99,4/5/18 15:04,0.63,8
53220234,12.19,4/5/18 15:29,1.1,8
53220454,32.36,4/5/18 15:35,2.91,8
53220482,37,4/5/18 15:37,2.43,8
53221075,38.94,4/5/18 16:13,4.42,8
53221222,284,4/5/18 16:42,0,0
53221230,6.49,4/5/18 17:01,0.5,8
53221245,11,4/5/18 17:01,0.86,8
53221292,43.95,4/5/18 16:34,3.96,8
53221880,18.69,4/5/18 17:05,1.68,8
53222073,21.26,4/13/18 17:34,2.1,8
53222078,10.39,4/5/18 17:26,1.35,8
53222092,14.91,4/5/18 17:26,1.34,8
53222285,25.45,4/5/18 17:37,0,8
53222698,34.2,4/5/18 18:18,2.12,8
53222940,43.95,4/5/18 18:09,3.96,8
53223364,6.99,4/8/18 14:40,0.5,4
53223376,51.69,4/5/18 18:38,4.65,4
53223553,9.49,4/5/18 20:11,0.85,8
53224262,284,4/5/18 19:24,0,0
53224880,22.5,4/5/18 20:32,1.36,8
53224953,84.98,4/5/18 20:10,7.65,3
53225096,69.25,4/5/18 20:16,0,8
53225442,12.73,4/5/18 20:49,1.26,3
53225608,23.76,4/5/18 20:53,0,8
53225809,51,4/5/18 20:59,3.26,4
53226006,37.38,4/5/18 20:59,3.36,8
53226077,19.99,4/5/18 21:11,2.6,8
53226079,39.99,4/6/18 13:07,5.2,8
53226242,254.95,4/5/18 21:15,22.95,3
53226385,24.13,4/5/18 21:28,2.02,8
53227999,20.15,4/6/18 0:20,2.62,8
53228087,47.7,4/6/18 0:33,1.67,8
53228756,34.2,4/6/18 2:21,2.12,8
53229592,44.95,4/6/18 11:55,0,22
53231189,65.25,4/6/18 5:15,2.1,0
53231835,26.45,4/6/18 6:17,1.39,8
53231935,254,4/6/18 6:26,0,4
53232996,26.99,4/6/18 7:40,0,8
53233136,34.5,4/6/18 7:50,3.11,8
