id,amount,sold_on,fvf,source_em
54060095,76.9,5/15/18 20:27,5.33,8
54060852,106.35,5/15/18 21:18,6.8,16
54066439,153.8,5/16/18 3:43,9,8
54066980,67.9,5/16/18 4:36,3.79,8
54067284,72.4,5/16/18 5:13,4.11,8
54068451,76.9,5/16/18 6:57,6.92,22
54068623,38.45,5/16/18 7:09,2.28,8
54068699,72.4,5/16/18 7:17,4.76,8
54068731,33.95,5/16/18 7:33,2.35,8
54069032,33.95,5/16/18 7:45,2.26,8
54069051,38.45,5/16/18 7:45,2.18,8
54069747,115.35,5/18/18 6:08,6.64,8
54070087,72.4,5/17/18 3:54,4.37,8
54070487,38.45,5/16/18 9:19,2.42,8
54071272,38.45,5/16/18 10:13,2.39,8
54074855,33.95,5/16/18 14:15,1.86,8
54074922,153.8,5/16/18 14:21,9.83,8
54077369,144.8,5/18/18 8:21,9.64,8
54077473,38.45,5/16/18 17:00,2.28,8
54078385,38.45,5/16/18 18:01,2.15,8
54078634,101.85,5/16/18 18:21,5.87,8
54078685,72.4,5/16/18 18:22,4.56,8
54078791,144.8,5/18/18 7:59,8.99,8
54078864,106.35,5/16/18 18:37,9.57,22
54078907,33.95,5/16/18 18:37,2.38,8
54079140,38.45,5/16/18 19:03,2.63,8
54083348,33.95,5/16/18 22:09,1.96,8
54085806,33.95,5/17/18 2:59,2.32,8
54085982,61.79,5/18/18 22:46,6.11,22
54087008,38.45,5/17/18 7:13,2.25,8
54087464,106.35,5/17/18 6:03,7.56,8
54087529,33.95,5/17/18 6:05,2.35,8
54088830,76.9,5/17/18 7:03,4.5,8
54089014,67.9,5/17/18 7:14,4.22,8
54089982,38.45,5/17/18 8:24,2.11,8
54090255,33.95,5/17/18 8:44,2.17,8
54090434,33.95,5/17/18 8:51,1.96,8
54090938,72.4,5/17/18 10:15,4.37,8
54091842,76.9,5/17/18 10:28,4.64,8
54091929,38.45,5/17/18 10:34,2.25,8
54091943,183.25,5/17/18 10:35,13.03,8
54091956,17.08,5/17/18 10:36,1.54,8
54091989,38.45,5/17/18 10:44,2.39,8
54092835,153.8,5/17/18 11:29,9.83,8
54094086,67.9,5/17/18 12:53,4.09,8
54094394,110.85,5/17/18 13:22,7.38,8
54094496,76.9,5/17/18 13:24,4.5,8
54094999,68.5,5/17/18 13:51,3.95,8
54095010,33.95,5/17/18 14:07,2.2,8
54096135,106.35,5/17/18 15:16,5.93,8
54096287,33.95,5/17/18 15:25,2.02,8
54096934,38.45,5/17/18 16:04,2.28,8
54097064,33.95,5/17/18 16:07,2.29,8
54097452,67.9,5/17/18 16:37,3.67,8
54097603,115.35,5/17/18 16:52,6.85,8
54097824,68.8,5/17/18 17:03,2.41,0
54098392,38.45,5/18/18 9:29,2.21,8
54098779,33.95,5/17/18 18:04,2.17,8
54099021,33.95,5/18/18 10:43,2.41,8
54099850,38.45,5/17/18 19:10,2.21,8
54100406,24.5,5/17/18 19:41,1.5,8
54101202,72.4,5/17/18 20:29,4.3,8
54102184,38.45,5/17/18 21:53,2.56,8
54102824,106.35,5/17/18 22:59,6.03,8
54104879,38.45,5/18/18 4:01,2.21,8
54104900,115.35,5/18/18 4:02,7.37,8
54104946,67.9,5/18/18 4:08,3.91,8
54105834,33.95,5/18/18 5:53,2.17,8
54105862,59.51,5/20/18 8:31,5.89,8
54106111,76.9,5/18/18 6:23,4.84,8
54106606,67.9,5/18/18 7:01,4.16,8
54106916,71.9,5/18/18 7:28,4.98,8
54107302,182.1,5/18/18 8:04,10.98,8
54107448,76.9,5/18/18 8:28,4.5,8
54107631,33.95,5/18/18 8:16,2.26,8
54107899,33.95,5/18/18 8:37,2.35,8
54109750,38.45,5/18/18 11:03,2.49,8
54111543,67.9,5/18/18 13:22,3.97,8
54111607,106.35,5/18/18 13:29,7.08,8
54111911,33.95,5/18/18 14:01,1.86,8
54111956,76.9,5/18/18 13:47,5.47,8
54112262,72.4,5/18/18 14:12,4.82,8
54112358,76.9,5/18/18 16:07,4.15,4
54112509,76.9,5/18/18 14:26,5.4,8
54113191,101.85,5/18/18 15:17,5.87,8
54114194,76.9,5/18/18 16:37,5.05,8
54114678,76.9,5/18/18 17:12,5.05,8
54114898,38.45,5/18/18 17:23,2.63,8
54114904,72.4,5/18/18 17:34,4.37,8
54115221,38.45,5/18/18 18:45,2.56,8
54116562,144.8,5/18/18 19:12,10.3,8
54116878,443.4,5/22/18 17:59,25.54,8
54116885,115.35,5/18/18 19:28,6.23,8
54116910,110.85,5/19/18 8:30,7.88,8
54116956,211.7,5/18/18 19:54,14.48,8
54117268,33.95,5/18/18 19:56,1.83,8
54118300,38.45,5/18/18 21:07,2.39,8
54118692,72.4,5/18/18 21:35,4.43,8
54119436,38.45,5/18/18 22:36,2.08,8
54119732,38.45,5/18/18 23:10,2.28,8
54120081,169.75,5/18/18 23:54,9.62,8
54121869,67.9,5/19/18 4:50,4.52,8
54122091,38.45,5/19/18 5:13,2.28,8
54122835,67.9,5/19/18 6:36,4.09,8
54123322,115.35,5/19/18 7:29,6.33,8
54123822,38.45,5/19/18 8:04,2.28,8
54124447,33.95,5/19/18 8:49,1.89,8
54124873,33.95,5/19/18 9:20,2.38,8
54124918,76.9,5/19/18 9:28,4.57,8
54125617,101.85,5/19/18 10:23,6.32,8
54126543,101.85,5/19/18 11:24,6.05,8
54126660,72.4,5/19/18 11:31,3.91,8
