seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
656854,1,31.00,31.00,0.81,0.81
656863,3,64.99,21.66,5.85,1.95
658564,23,213.30,9.27,19.20,0.83
659874,1,14.99,14.99,0.52,0.52
660054,2,388.40,194.20,16.55,8.28
661112,3,74.28,24.76,6.21,2.07
661803,14,922.31,65.88,130.14,9.30
680524,1,31.99,31.99,1.98,1.98
683899,125,4267.51,34.14,364.34,2.91
684653,13,222.20,17.09,38.05,2.93
685245,16,827.91,51.74,105.62,6.60
685738,5,334.05,66.81,10.22,2.04
686536,4,134.10,33.53,13.48,3.37
690060,4,194.00,48.50,8.88,2.22
690403,1,49.00,49.00,4.41,4.41
692909,12,317.99,26.50,26.76,2.23
692988,1,59.99,59.99,0.00,0.00
695582,1,57.50,57.50,1.73,1.73
695615,4,229.70,57.43,20.67,5.17
696778,1,100.00,100.00,3.50,3.50
698340,5,148.70,29.74,14.43,2.89
703615,1,56.19,56.19,8.88,8.88
704261,1,40.60,40.60,1.28,1.28
708839,6,134.72,22.45,8.09,1.35
710621,1,15.47,15.47,0.54,0.54
711859,1,51.47,51.47,7.60,7.60
714279,1,8.90,8.90,0.80,0.80
716173,1,79.15,79.15,0.00,0.00
717154,1,125.37,125.37,12.40,12.40
718663,42,3401.16,80.98,217.91,5.19
719818,2,284.93,142.47,25.65,12.83
720842,1,7.06,7.06,0.50,0.50
721693,1,22.79,22.79,0.66,0.66
722294,1,8.95,8.95,0.50,0.50
725429,1,24.83,24.83,1.85,1.85
726132,3,520.50,173.50,70.91,23.64
730286,1,577.25,577.25,0.00,0.00
731598,10,193.86,19.39,17.46,1.75
734614,1,17.00,17.00,0.50,0.50
743953,1,87.05,87.05,6.43,6.43
745529,6,253.03,42.17,21.30,3.55
748879,1,27.95,27.95,0.98,0.98
748963,4,204.85,51.21,26.62,6.66
751363,1,5.40,5.40,0.50,0.50
751720,2,241.57,120.79,38.65,19.33
753179,1,9.18,9.18,0.93,0.93
755090,1,10.79,10.79,0.97,0.97
756585,3,330.00,110.00,42.90,14.30
760390,5,150.20,30.04,8.77,1.75
763317,33,1137.00,34.45,117.56,3.56
763584,1,17.98,17.98,0.50,0.50
765790,1,39.57,39.57,2.71,2.71
767385,5,94.20,18.84,3.15,0.63
768839,2,38.35,19.18,3.45,1.73
777945,19,1055.40,55.55,136.01,7.16
781825,1,64.88,64.88,2.27,2.27
782558,1,329.99,329.99,0.00,0.00
782919,9,211.35,23.48,27.85,3.09
783357,2,172.27,86.14,30.57,15.29
788127,16,3944.51,246.53,203.06,12.69
794618,1,7.50,7.50,0.00,0.00
795042,8,434.46,54.31,40.71,5.09
796044,1,26.99,26.99,0.94,0.94
798524,1,68.00,68.00,0.00,0.00
805516,22,338.78,15.40,30.51,1.39
811831,1,13.25,13.25,0.50,0.50
812661,1,5.00,5.00,0.65,0.65
822757,3,57.75,19.25,3.06,1.02
827176,1,13.23,13.23,0.50,0.50
828118,3,65.00,21.67,4.06,1.35
832083,2,64.83,32.42,3.55,1.78
834649,11,351.09,31.92,24.30,2.21
839323,1,13.99,13.99,0.90,0.90
849847,2,64.27,32.14,5.22,2.61
851199,4,248.00,62.00,19.04,4.76
851650,1,35.37,35.37,3.30,3.30
854381,6,88.65,14.78,5.99,1.00
856297,1,7.66,7.66,0.50,0.50
857043,2,57.56,28.78,4.45,2.23
858548,68,1790.86,26.34,183.09,2.69
863812,2,49.50,24.75,4.46,2.23
865866,14,915.72,65.41,12.60,0.90
866598,2,697.55,348.78,,0.00
867589,9,290.96,32.33,32.43,3.60
868218,2,26.70,13.35,2.31,1.16
869379,2,135.72,67.86,5.40,2.70
870759,1,135.00,135.00,4.73,4.73
880264,1,53.04,53.04,3.87,3.87
881309,1,7.92,7.92,0.50,0.50
881682,1,677.98,677.98,67.67,67.67
882664,1,24.00,24.00,2.16,2.16
883182,1,12.84,12.84,0.50,0.50
885657,5,94.26,18.85,6.20,1.24
893963,1,8.50,8.50,0.77,0.77
894021,6,364.81,60.80,20.86,3.48
899965,1,35.24,35.24,2.27,2.27
901608,4,21.56,5.39,4.08,1.02
902603,4,86.28,21.57,7.30,1.83
905613,1,41.99,41.99,6.08,6.08
913987,6,3266.00,544.33,344.82,57.47
915543,1,45.60,45.60,1.25,1.25
918694,1,32.22,32.22,2.16,2.16
919049,2,101.94,50.97,3.15,1.58
922667,3,171.75,57.25,5.44,1.81
923995,2,41.85,20.93,3.24,1.62
924377,2,323.90,161.95,29.80,14.90
932229,4,185.96,46.49,35.34,8.84
935138,4,84.65,21.16,3.83,0.96
939276,1,8.28,8.28,0.55,0.55
939707,1,125.00,125.00,11.25,11.25
941978,1,11.45,11.45,0.50,0.50
945951,4,194.10,48.53,14.54,3.64
948825,1,4.40,4.40,0.50,0.50
950546,1,246.39,246.39,8.62,8.62
951055,2,114.22,57.11,19.99,10.00
951337,10,734.40,73.44,66.09,6.61
952126,3,51.35,17.12,3.61,1.20
955594,1,26.00,26.00,0.00,0.00
958236,1,1.89,1.89,0.50,0.50
959750,1,46.19,46.19,3.26,3.26
960058,1,20.00,20.00,1.26,1.26
964051,1,15.00,15.00,1.35,1.35
967817,1,105.93,105.93,3.71,3.71
968899,1,44.15,44.15,1.20,1.20
969200,2,110.65,55.33,8.58,4.29
969225,4,36.89,9.22,2.29,0.57
970496,5,92.10,18.42,4.98,1.00
973505,4,40.69,10.17,2.46,0.62
