seller_id,fees_paid,membership_paid,profit_estimate,value_em
26530692,0,0,0,0
26547973,7.02,140,147.77,1
26568440,0,0,0,0
26617914,0,0,-0.19,0
26661051,0,0,0,0
26668841,0,0,-0.02,0
26679507,0,20,19.51,0
26709122,0,0,0,0
26752474,0,0,0,0
26793992,0,0,0,0
26815647,0,0,0,0
26820140,0,0,0,0
26868814,0,0,0,0
26882598,0,0,0,0
26913188,0,0,0,0
26916791,0,0,0,0
26966465,0,0,0,0
27040572,0,0,0,0
27051032,0,0,-0.02,0
27057365,0,0,-0.18,0
27060732,0,0,0,0
27064849,0,0,0,0
27066672,0,0,-0.28,0
27066710,0,0,0,0
27083278,0,0,0,0
27090248,0,0,0,0
27093908,0,0,0,0
27099898,0,0,0,0
27101617,0,0,-12.83,0
27152698,3.18,0,4.6,0
27153513,0,0,0,0
27196577,0,0,0,0
27205185,0,0,-33.21,0
27247913,0,0,-0.01,0
27269949,0,0,0,0
27293646,0,0,0,0
27303008,0,0,-0.04,0
27311670,0,290,289.91,0
27312230,0,0,0,0
27315333,0,0,-0.02,0
27332520,0,0,-0.01,0
27336372,0,0,-0.02,0
27349148,0,0,0,0
27384671,0,0,0,0
27387327,0,0,0,0
27416772,0,0,-2.89,0
27429863,0,0,0,0
27430480,0,0,0,0
27472557,53.97,0,46.18,1
27480384,0,0,0,0
27499357,0,0,-0.04,0
27499521,0,0,0,0
27499618,0,0,0,0
27525727,4.66,0,3.51,0
27564601,0,0,-0.01,0
27627685,0,0,0.7,0
27634623,0,0,-0.03,0
27640411,0,0,0,0
27651035,0,0,-1.31,0
27688003,0,0,0,0
27733095,23.79,80,94.28,0
27752052,0,0,0,0
27772659,0,0,0,0
27810631,0,0,-0.03,0
27812667,0,0,0,0
27820372,0,40,40,0
27830516,0,0,0,0
27834646,0,0,-0.02,0
27850906,0,0,-1.18,0
27887790,0,0,0,0
27891938,0,0,0,0
27907141,0,0,0,0
27947364,0,0,0,0
27954572,0,0,-0.04,0
27998676,45.5,0,44.74,0
28048986,0,0,0,0
28102128,0,0,0,0
28147303,0,0,0,0
28193091,0,0,0,0
28222400,0,0,0,0
28248929,0,0,0,0
28251732,0,0,0,0
28308474,0,0,-0.02,0
28308615,0,0,0,0
28383829,0,0,-0.57,0
28394473,0,0,0,0
28405277,3.6,0,9.35,1
28408746,0,0,0,0
28461201,0,0,0,0
28478942,0,0,0,0
28492289,0,0,0,0
28497229,0,0,-4.23,0
28500480,0,0,0,0
28512959,0,0,-0.2,0
28551102,4.09,0,3.53,0
28595572,0,0,0,0
28608729,0,0,-0.33,0
28619430,0,0,0,0
28655776,0,0,6.06,1
28660905,0,0,0,0
28678812,0,0,0,0
28717917,0,0,0,0
28781285,0,0,-1.61,0
28825893,0,0,0,0
28834611,0,0,0,0
28860622,11.62,0,10.28,0
28862110,0,0,0,0
28867459,0,0,0,0
28884136,49.7,40,82.14,0
28962943,0,0,-1.54,0
28966355,0,0,0,0
28993771,0,0,-0.01,0
28998525,0,0,-0.04,0
28998647,0,0,0,0
28999968,0,0,-0.08,0
29082252,0,0,-0.02,0
29084421,0,0,0,0
29102257,0,0,-0.02,0
29129199,0,0,-0.36,0
29133108,5.46,0,7.64,0
29133900,0,0,-0.02,0
29176153,0,0,-0.18,0
29190884,0,0,-3.51,0
29191961,0,20,20,0
29205246,0,0,0,0
29205761,0,0,0,0
29235528,0,0,-0.09,0
29284655,0,0,0,0
29286085,462.68,160,339.66,2
29324765,0,0,0,0
29390731,0,0,1.59,0
29413627,0,0,-1.71,0
29417099,0,0,-0.04,0
29454250,0,0,0,0
29498053,0,0,-0.01,0
29525625,0,0,-0.03,0
29526729,0,40,39.91,0
29528051,0,0,0,0
29554752,0,0,0,0
29573789,0,0,0,0
29586408,0,0,0,0
29613486,0,0,0,0
29614716,8.87,0,5.42,1
29623281,0,0,0,0
29641520,0,0,-0.49,0
29678337,0,0,0,0
29678727,0,0,0,0
29720846,0,40,40,0
29764653,0,0,0,0
29772930,0,290,289.91,0
29800643,0,0,0,0
29819765,99.51,40,68.82,2
29826081,0,0,0,0
29832670,0,0,0,0
29844305,0,0,-0.37,0
29907197,0,0,0,0
29925734,0,0,-1.54,0
29931064,0,0,0,0
29957156,69.16,0,131.73,1
29970612,0,0,0,0
29995186,0,0,0,0
30017617,0,0,0,0
30044825,0,0,0,0
30056617,0,0,-0.04,0
30058772,0,0,-0.48,0
30090164,3.35,0,2.18,1
30100391,0,0,0,0
30127164,0,0,0,0
30142110,0,0,0,0
30146932,0,0,0,0
30175529,0,0,-0.65,0
30184268,0,0,-0.4,0
30234106,0,0,-30.18,0
30246027,0,0,0,0
30256885,0,0,-0.52,0
30262487,0,0,-0.16,0
30269420,0,0,0,0
30292797,448.33,2595,2908.24,2
30322021,0,0,0,0
30325451,0,0,0,0
30354604,0,0,2.42,0
30369425,231.86,200,408.06,2
30408768,0,0,0,0
30421721,0,0,0,0
30454284,0,0,-0.02,0
30465452,0,0,0,0
30475611,0,0,0,0
30476361,0,0,7.01,0
30482635,0,60,59.71,0
30485315,0,0,0,0
30495666,0,0,0,0
30496501,0,0,-0.01,0
30501765,0,0,0,0
30507530,0,0,-5.46,0
30518242,0,0,0,0
30526121,0,0,0,0
30534964,0,0,0,0
30569131,0,0,-0.41,0
30575369,0,0,0,0
30584432,0,0,0,0
30602252,0,0,-4.42,0
30607404,0,0,0,0
30609041,0,0,-2.05,0
30628858,0,0,-0.49,0
30631410,0,0,0,0
30633174,0,0,-2.39,0
30635286,0,0,0,0
30655627,0,0,0,0
30664083,0,0,0,0
30675833,0,0,-0.04,0
30737186,0,0,-2.58,0
30753525,27.67,0,10.51,2
30765427,0,0,0,0
30772837,9.79,0,9.79,0
30783592,0,0,-0.03,0
30822205,0,0,0,0
30840441,0,0,2.2,0
30855781,0,0,-0.23,0
30856823,0,0,0,0
30859750,0,0,0,0
30871420,0,0,-0.22,0
30896030,0,0,-0.05,0
30901039,0,0,0,0
30912959,0,0,0,0
30914380,0,0,0,0
30914701,6.44,80,85.67,0
30922462,0,0,0,0
30926806,0,0,0,0
30956924,0,0,0,0
30981535,0,0,-0.22,0
31023520,0,140,140,0
31031397,0,70,70,0
31059699,0,0,-0.21,0
31074750,0,0,0,0
31096050,0,0,0,0
31108059,0,0,0,0
31118120,0,0,0,0
31121926,0,0,-0.18,0
31157060,0,0,0,0
31172121,0,0,0,0
31172414,0,0,-0.09,0
31174879,0,0,0,0
31179602,0,0,0,0
31179868,0,0,-2.61,0
31188852,0,0,-0.01,0
31215746,0,0,0,0
31223804,0,0,0,0
31226425,0,0,0,0
31285385,0,0,-0.15,0
31295410,0,0,0,0
31320341,0,0,0,0
31357440,0,0,0,0
31364718,0,0,0,0
31367262,0,0,0,0
31375956,0,0,0,0
31379665,0,0,0,0
31380130,0,0,0,0
31385707,0,0,0,0
31408367,0,0,0,0
31411685,0,200,74.84,0
31419179,9.54,290,297.73,1
31425050,0,0,-0.11,0
31425226,0,0,-0.1,0
31431224,0,0,0,0
31436117,0,0,0,0
31473811,0,70,70.16,0
31481561,0,0,-0.64,0
31485753,18.91,80,95.66,0
31486163,0,0,0,0
31497929,0,0,0,0
31559413,3.6,0,3.49,0
31560633,0,0,-0.26,0
31566442,0,0,0,0
31573140,0,0,0,0
31573358,402.9,0,214.3,2
31579948,0,0,0,0
31588917,0,0,-0.01,0
31634651,12.38,0,14.01,0
31648167,0,0,-0.52,0
31651833,0,0,-2.17,0
31652592,0,70,70,0
31657032,0,0,-0.07,0
31675073,0,0,-0.67,0
31678465,0,0,0,0
31679125,0,0,-0.01,0
31685551,0,0,0,0
31689978,0,0,0,0
31706415,0,0,0,0
31734400,0,0,0,0
31734448,0,0,0,0
31739260,0,0,-15.34,1
31744259,0,0,-0.16,0
31745421,0,0,0,0
31751824,0,0,0,0
31770178,0,0,-0.79,0
31771393,0,0,0,0
31772876,0,0,0,0
31785895,260.75,0,183.47,1
31792524,0,0,0,0
31832810,0,0,0,0
31842489,0,0,0,0
31848036,0,0,0,0
31851370,0,0,-0.09,0
31854954,0,0,0,0
31870333,0,0,0,0
31883030,0,0,0,0
31892285,0,0,0,0
31940951,0,0,0,0
31948073,0,0,-2.88,0
31959426,0,0,0,0
31960255,0,0,0,0
32000832,0,0,-264.77,0
32010982,0,0,0,0
32012182,0,0,0,0
32029763,0,0,0,0
32038160,0,0,0,0
32038771,0,0,0,0
32066384,3.64,0,-35.23,0
32069165,0,0,0,0
32079276,0,0,0,0
32079788,0,0,0,0
32093571,0,0,-2.82,0
32093969,0,0,-0.16,0
32106645,0,0,0,0
32116234,9.61,0,4.93,1
32125733,0,0,-1.59,0
32129326,21,0,9.25,1
32159441,0,0,0,0
32165736,0,0,0,0
32166242,0,0,0,0
32169416,0,0,0,0
32189780,0,0,0,0
32189989,0,0,-2,0
32200186,0,40,39.92,0
32209959,46.81,0,18.08,1
32210938,0,0,0,0
32221164,0,0,0,0
32239766,208.79,0,-61.64,1
32250864,0,0,0,0
32259076,24.12,0,17.71,0
32274921,955.51,140,661.95,2
32282828,0,0,0,0
32286772,0,0,-0.34,0
32287151,0,0,0,0
32306775,0,0,-1.24,0
32308149,19.69,0,16.5,0
32312104,0,0,0,0
32313881,54.15,160,184.73,0
32319305,0,0,0,0
32322357,0,0,-1.35,0
32334959,0,0,-0.01,0
32368594,0,0,0,0
32388279,0,0,0,0
32388875,0,0,-0.02,0
32398690,0,0,0,0
32419396,0,0,-6.8,0
32448742,0,0,0,0
32462773,0,0,0,0
32464015,0,0,0,0
32468231,0,0,0,0
32500656,0,0,-0.37,0
32519865,0,0,0,0
32544224,3.22,0,2.54,0
32558490,5.38,0,5.38,0
32559204,0,0,-7.12,0
32561385,0,0,0,0
32561542,0,0,-0.01,0
32579665,0,0,0,0
32587837,4.5,0,3.37,0
32595330,0,0,0,0
32596173,0,0,-0.8,0
32621257,0,0,0,0
32624229,0,0,-0.56,0
32642219,0,0,0,0
32644320,0,0,0,0
32676650,0,0,-0.01,0
32691489,0,0,0,0
32695910,0,0,0,0
32697658,0,0,-1.65,2
32734732,0,0,0,0
32738776,0,0,0,0
32755885,0,40,40,0
32760272,0,0,-2.23,0
32818202,0,0,0,0
32820533,23.33,0,-1.5,0
32824826,0,0,0,0
32866145,0,0,0,0
32872209,0,0,0,0
32892479,0,0,0,0
32894815,0,0,0,0
32895867,0,0,-18.51,0
32904283,0,0,-0.14,0
32910168,0,0,0,0
32943932,0,0,0,0
32950208,6.65,0,1.09,0
32970719,0,0,0,0
32981908,45.04,0,38.11,1
32988695,0,0,0,0
33006664,0,0,0,0
33020948,10.94,0,-9.09,0
33029138,0,40,39.89,0
33060535,0,0,0,0
33079314,0,0,0,0
33089172,20.37,0,1.53,1
33092626,0,0,-0.65,0
33097009,0,0,-0.01,0
33111117,0,0,0,0
33117480,0,0,0,0
33138905,0,0,0,0
33139409,0,0,0,0
33161966,0,0,0,0
33166658,0,0,0,0
33174343,0,0,0,0
33201004,0,160,150.83,0
33210639,0,0,-0.01,0
33211875,0,0,0,0
33214986,0,0,0,0
33219864,0,0,0,0
33222368,0,0,0,0
33223185,0,0,-0.37,0
33224888,0,0,0,0
33231324,0,0,0,0
33233244,0,0,0,0
33258129,97.92,0,-81.42,2
33276522,0,0,2.99,0
33282389,0,0,0,0
33298018,0,0,0,0
33298404,0,0,0,0
33298515,0,0,0,0
33313950,0,0,0,0
33323520,0,0,0,0
33337230,0,0,0,0
33338386,0,0,0,0
33346284,0,0,0,0
