id,sold_on,purchased_at
60897035,4/16/19 19:34,
60896939,4/16/19 19:40,4/16/19 19:43
60897086,4/16/19 19:44,4/16/19 23:40
60897206,4/16/19 19:45,
60897176,4/16/19 19:45,4/17/19 11:41
60897166,4/16/19 19:46,4/17/19 3:57
60897111,4/16/19 19:49,4/17/19 8:52
60897503,4/16/19 20:06,
60897503,4/16/19 20:06,
60897503,4/16/19 20:06,
60897493,4/16/19 20:09,4/17/19 10:08
60897823,4/16/19 20:35,4/17/19 8:52
60865624,4/16/19 20:35,
60898208,4/16/19 20:48,
60898010,4/16/19 20:50,4/17/19 7:21
60897786,4/16/19 20:51,4/18/19 5:18
60898087,4/16/19 20:54,
60898433,4/16/19 21:06,4/17/19 5:18
60898624,4/16/19 21:18,4/17/19 7:22
60898511,4/16/19 21:19,
60898717,4/16/19 21:29,4/17/19 6:00
60898123,4/16/19 21:39,4/23/19 9:20
60898123,4/16/19 21:39,
60898123,4/16/19 21:39,
60898123,4/16/19 21:39,
60898961,4/16/19 21:51,
60898927,4/16/19 21:51,4/18/19 4:18
60898942,4/16/19 21:56,
60899286,4/16/19 22:18,4/18/19 7:58
60899329,4/16/19 22:22,4/17/19 18:50
60891182,4/16/19 22:24,4/16/19 23:38
60899540,4/16/19 22:40,
60882750,4/16/19 22:56,4/17/19 5:49
60899672,4/16/19 22:58,4/17/19 13:01
60894728,4/16/19 23:22,
60899877,4/16/19 23:28,4/17/19 6:53
60900081,4/16/19 23:35,4/17/19 18:47
60900079,4/16/19 23:38,4/18/19 8:10
60900521,4/17/19 0:33,
60900548,4/17/19 0:38,4/17/19 7:25
60828105,4/17/19 3:24,
60901986,4/17/19 3:44,4/17/19 7:58
60894735,4/17/19 3:51,4/17/19 14:51
60902060,4/17/19 3:54,4/17/19 12:46
60902190,4/17/19 4:05,4/25/19 17:44
60902207,4/17/19 4:10,4/17/19 9:41
60902393,4/17/19 4:42,4/17/19 9:08
60890929,4/17/19 4:45,4/18/19 14:40
60881102,4/17/19 4:52,
60902646,4/17/19 5:01,
60902647,4/17/19 5:03,4/18/19 12:26
60896010,4/17/19 5:06,
60902908,4/17/19 5:27,4/17/19 5:30
60903086,4/17/19 5:44,
60903183,4/17/19 5:54,4/20/19 18:36
60903227,4/17/19 6:01,
60903258,4/17/19 6:03,
60903474,4/17/19 6:24,
60903506,4/17/19 6:24,4/18/19 20:55
60903550,4/17/19 6:37,4/17/19 14:17
60903648,4/17/19 6:52,
60903759,4/17/19 6:53,4/17/19 16:40
60903892,4/17/19 7:01,4/18/19 14:19
60903283,4/17/19 7:06,
60903973,4/17/19 7:10,
60904000,4/17/19 7:10,4/17/19 9:07
60903981,4/17/19 7:10,4/18/19 21:24
60903970,4/17/19 7:15,
60904088,4/17/19 7:16,4/17/19 9:47
60873498,4/17/19 7:22,4/17/19 9:27
60904093,4/17/19 7:26,4/18/19 9:26
60904251,4/17/19 7:31,4/18/19 10:44
60875498,4/17/19 7:33,
60904252,4/17/19 7:33,4/17/19 13:25
60904166,4/17/19 7:35,4/17/19 9:49
60876589,4/17/19 7:37,
60904291,4/17/19 7:37,4/17/19 12:54
60904304,4/17/19 7:40,4/18/19 10:47
60904401,4/17/19 7:44,4/21/19 15:04
60904442,4/17/19 7:49,4/29/19 6:54
60904457,4/17/19 7:50,
60904502,4/17/19 7:54,
60904540,4/17/19 7:59,
60904368,4/17/19 8:04,4/18/19 8:05
60904667,4/17/19 8:07,4/17/19 18:15
60904165,4/17/19 8:11,
60904682,4/17/19 8:12,4/18/19 5:55
60904555,4/17/19 8:17,4/23/19 9:22
60904780,4/17/19 8:19,4/18/19 12:14
60904768,4/17/19 8:19,4/19/19 8:59
60904784,4/17/19 8:21,4/17/19 11:28
60904877,4/17/19 8:24,
60904979,4/17/19 8:33,
60905056,4/17/19 8:41,4/30/19 7:53
60904839,4/17/19 8:42,
60905082,4/17/19 8:43,
60905108,4/17/19 8:46,4/17/19 13:19
60816581,4/17/19 8:56,4/26/19 13:14
60905325,4/17/19 8:59,4/18/19 8:08
60905282,4/17/19 9:02,4/17/19 20:05
60905368,4/17/19 9:06,4/17/19 14:29
60905431,4/17/19 9:09,4/18/19 17:58
60905434,4/17/19 9:12,4/18/19 8:46
60905463,4/17/19 9:15,4/19/19 8:40
60905401,4/17/19 9:15,4/17/19 10:37
60905612,4/17/19 9:26,4/21/19 11:53
60905596,4/17/19 9:26,4/17/19 10:16
60905659,4/17/19 9:31,4/17/19 16:32
60905663,4/17/19 9:31,
60905661,4/17/19 9:32,4/18/19 4:54
60905672,4/17/19 9:41,
60904261,4/17/19 9:49,4/23/19 9:24
60905890,4/17/19 9:49,
60905909,4/17/19 9:50,4/20/19 18:37
60905777,4/17/19 9:51,4/18/19 8:23
60905897,4/17/19 9:52,4/18/19 10:34
60905919,4/17/19 9:55,
60905726,4/17/19 9:58,4/17/19 21:07
60905886,4/17/19 9:58,4/18/19 14:57
60905982,4/17/19 10:00,
60906075,4/17/19 10:06,4/18/19 13:23
60906101,4/17/19 10:06,4/17/19 16:20
60906098,4/17/19 10:11,4/17/19 16:13
60906321,4/17/19 10:23,4/18/19 9:32
60890994,4/17/19 10:26,4/18/19 4:37
60906331,4/17/19 10:27,
60906403,4/17/19 10:34,
60906401,4/17/19 10:36,4/18/19 10:14
60906497,4/17/19 10:38,
60906506,4/17/19 10:39,4/18/19 11:09
60905676,4/17/19 10:41,
60889126,4/17/19 10:46,
60906535,4/17/19 10:47,
60906567,4/17/19 10:48,
60904871,4/17/19 10:53,4/17/19 12:26
60906672,4/17/19 10:58,
60906681,4/17/19 10:58,
60550982,4/17/19 11:01,
