seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
36408257,TRUE,162,4740747,12/16/18,organic,1,,https://www.google.com/,,0,0,-0.03,0
36408400,TRUE,19,4740766,12/16/18,organic,1,,android-app://com.google.android.googlequicksearchbox,,0,0,0,0
36408341,TRUE,248,4740780,12/16/18,organic,1,,https://www.google.com/,,0,0,0,0
36408630,TRUE,9,4740788,12/19/18,unknown,,,,,0,0,0,0
36408703,TRUE,15,4740797,12/16/18,organic,3,,https://www.google.com/,,0,0,-0.03,0
36409048,TRUE,1,4740832,12/16/18,organic,,,Direct,,0,0,0,0
36409319,TRUE,1,4740837,1/2/19,other,,,https://quickbooks.intuit.com/r/online-store-and-retail/10-sites-to-sell-your-products-online-whats-best-for-your-business/,,0,0,0,0
36409420,FALSE,0,4740843,12/16/18,unknown,3,,,,0,0,0,0
36409669,TRUE,0,4740863,12/16/18,organic,,,https://www.google.com/,,0,0,0,0
36409931,TRUE,1,4740890,12/16/18,organic,1,,https://www.google.com/,,0,0,0,0
36409983,TRUE,1,4740894,12/16/18,unknown,,,,,0,0,0,0
36410160,TRUE,1,4740916,12/16/18,unknown,6,,,,0,0,-0.12,0
36410317,TRUE,2,4740926,12/17/18,google_shopping,,,https://www.google.com/,,0,0,0,0
36410439,TRUE,0,4740938,12/16/18,affiliate,1,,Direct,,0,0,0,0
36410671,TRUE,0,4740969,12/16/18,unknown,,,,,0,0,0,0
36410726,TRUE,11,4740976,12/16/18,google_shopping,1,,https://www.google.com/,,3.93,0,5.55,0
36411041,TRUE,26,4740999,12/16/18,google_text_ad,1,,https://www.google.com/,,0,0,0.51,0
36411305,TRUE,0,4741024,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36411340,TRUE,1,4741030,12/17/18,organic,,,https://www.google.com/,,0,0,0,0
36411426,FALSE,0,4741040,12/16/18,unknown,,,,,0,0,0,0
36411588,TRUE,1,4741053,12/16/18,bing,1,,https://www.bing.com/search?q=bonanza.com&form=PRUSEN&mkt=en-us&httpsmsn=1&refig=b33e015002c44748b9ea7b6aa85d4652&sp=1&ghc=1&qs=LS&pq=bonanza.com&sc=8-11&cvid=b33e015002c44748b9ea7b6aa85d4652,,0,0,0,0
36411581,TRUE,2,4741067,12/16/18,unknown,1,,,,15.85,0,13.98,1
36411718,FALSE,0,4741070,12/16/18,unknown,,,,,0,0,-0.01,0
36412006,TRUE,87,4741090,12/16/18,unknown,3,,,,0,0,0,0
36411989,FALSE,0,4741098,12/16/18,unknown,,,,,0,0,0,0
36412491,TRUE,13,4741138,12/19/18,unknown,6,,,,0,0,-3.68,0
36412542,TRUE,87,4741149,12/16/18,unknown,1,,,,0,0,-0.25,0
36412585,TRUE,3,4741153,2/26/19,search_seller_targeted,1,,https://www.google.com/,,0,0,0,0
